sentence_id,source,reference
A.dev.gold.bea19_000034,How are you ? I 'm writing to inform you that some advice on travelling and working in my country .,How are you ? I 'm writing to give you some advice on travelling and working in my country .
A.dev.gold.bea19_000035,"On the one hand , in my country there are a lot of place to travel .","On the one hand , in my country there are a lot of places to visit ."
A.dev.gold.bea19_000036,"For example Barcelona , Madrid , Sevilla , Valencia .","For example , Barcelona , Madrid , Sevilla , Valencia ."
A.dev.gold.bea19_000037,"There are wonderful cities because there are a lot of things to visit for example in Madrid you can visit "" Puerta del Sol "" , "" Las Cibeles "" .","There are wonderful cities because there are a lot of things to visit . For example , in Madrid you can visit "" Puerta del Sol "" , "" Las Cibeles "" ."
A.dev.gold.bea19_000038,I visit Madrid twice a year .,I visit Madrid twice a year .
A.dev.gold.bea19_000039,All summer I visit Sevilla because I love this city and I suggest that you visit Sevilla .,Every summer I visit Sevilla because I love this city and I suggest that you visit Sevilla .
A.dev.gold.bea19_000040,"On the other hand , in my country there are a few job because the economy is very bad .","On the other hand , in my country there are few jobs because the economy is very bad ."
A.dev.gold.bea19_000041,"But , if you want I look for a job from you .","But , if you want , I will look for a job for you ."
A.dev.gold.bea19_000042,My best friend looking for a people responsible for look after her sister .,My best friend if looking for a responsible person to look after her sister .
A.dev.gold.bea19_000043,Her sister is 6 years old and you should look after every weekend .,Her sister is 6 years old and you would have to look after her every weekend .
A.dev.gold.bea19_000044,You will be interesting in this job ?,Would you be interested in this job ?
A.dev.gold.bea19_000045,"Thank you for you e - mail , it was wonderful to hear from you .",Thank you for your e - mail . It was wonderful to hear from you .
A.dev.gold.bea19_000046,I 'm looking forward to seeing you .,I 'm looking forward to seeing you .
A.dev.gold.bea19_000047,"Take care , Laura .","Take care , Laura ."
A.dev.gold.bea19_000048,Today public transport still play an important role in transport system and it will keep on in the future .,"Today , public transport still plays an important role in the transport system and it will keep on doing so in the future ."
A.dev.gold.bea19_000049,Because public transport is a cost effective and better resource allocation in mass transport system .,Because public transport is a more cost - effective and better resource allocation in mass transport system .
A.dev.gold.bea19_000050,Also people need not to suffer high operating cost running their own car .,"Also , people need not suffer the high operating cost of running their own car ."
A.dev.gold.bea19_000051,But it can use a cheaper way going to their destination especially it is far away from home .,"But can use a cheaper way of going to their destination , especially if it is far away from home ."
A.dev.gold.bea19_000052,"For example , I think that it is not affordable for an ordinary person to own a private airplane travelling to another country .","For example , I think that it is not affordable for an ordinary person to own a private airplane for travelling to another country ."
A.dev.gold.bea19_000053,Instead it will be common to buy an air ticket and ride on public plane .,"Instead , it will be common to buy an air ticket and travel on a public plane ."
A.dev.gold.bea19_000054,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .","In my opinion , public transport is going to continue to be used in the future because there are a lot of people that do n't have enough money to pay for a car , even if it is used , so public transport will continue to have a future but people are going to use cars more than buses or the underground ."
A.dev.gold.bea19_000055,If we think about it the car is better because we do n't need to wait for them has we are waiting for the bus or underground but in another way car cust more money than the public transport .,"If we think about it , the car is better because we do n't need to wait for it like we wait for the bus or underground , but on the other hand , cars cost more money than public transport ."
A.dev.gold.bea19_000056,By car we can just stay with ourselves which can be good because we can listen to the music that we like and we do n't need to be around people that are unkwoned but if we chose public transport we can meet friends or family so both trasnportations are good and the cars do n't need necessarialy to end up with the public transport .,"In a car , we can just be by ourselves , which can be good because we can listen to the music that we like and we do n't need to be around people that are unknown , but if we choose public transport , we can meet friends or family , so both modes of transport are good , and cars do n't need necessarily to bring an end to public transport ."
A.dev.gold.bea19_000057,If I had it to choose between both transportation I think I probably chose car because it is better for me to go by car then to go by bus .,"If I had to choose between both forms of transportation , I think I would probably choose the car because it is better for me to go by car than to go by bus ."
A.dev.gold.bea19_000058,"In my community , we are very interested at environment and ecological things .","In my community , we are very interested in the environment and ecological things ."
A.dev.gold.bea19_000059,"We have solar panels and a place to make compost at the last garden , with worms who eat and degrade all the organic waste of the school .","We have solar panels and a place to make compost in the garden , with worms that eat and degrade all the organic waste of the school ."
A.dev.gold.bea19_000060,"In some strategic points of the building we have special trashcans to separate the garbage in organic , paper and cardboard , cans and pet bottles and they also made talks and presentations about the earth problems like global warming , contamination , etc .","At some strategic points in the building , we have special trashcans to separate the garbage into organic , paper and cardboard , cans and plastic bottles and they also give talks and presentations about the earth 's problems , like global warming , pollution , etc ."
A.dev.gold.bea19_000061,"The manager of all this project is Miss June Sid , our science teacher .","The manager of this project is Miss June Sid , our science teacher ."
A.dev.gold.bea19_000062,All this initiatives has made us all over the years a recognised ecological community .,"All these initiatives have made us all , over the years , a recognised ecological community ."
A.dev.gold.bea19_000063,"Good morning everyone , today I want to share about is my favorite sport .",Good morning everyone . Today I want to share about my favorite sport .
A.dev.gold.bea19_000064,"My favorite sport is football , why I choose it?Well , football is a international sport , people around the world will love it so much!Example like Barclay Premier League , Liga Premier , Fifa World Cup and so on .","My favorite sport is football . Why do I choose it ? Well , football is an international sport . People around the world love it so much ! Barclay Premier League , Liga Premier , Fifa World Cup and so on ."
A.dev.gold.bea19_000065,I believe that 's all will delighted us .,I believe that everything will delight us .
A.dev.gold.bea19_000066,"By the way , my favorite football team is Manchester United , they are brilliant , they have an amazing football players , and they are awesome .","By the way , my favorite football team is Manchester United . They are brilliant . They have amazing football players , and they are awesome ."
A.dev.gold.bea19_000067,Michael was a little kid when he had a dream that was : Be a super hero !,Michael was a little kid when he had a dream that was : to be a super hero !
A.dev.gold.bea19_000068,After many years he still dream to become a super hero .,"After many years , he still dreamt of becoming a super hero ."
A.dev.gold.bea19_000069,He enter the university of medicine because he thinks that this profession was the more similar to be a super hero .,He went to university to study medicine because he thought that that profession was the most similar to being a super hero .
A.dev.gold.bea19_000070,Pass some years of the university and he know a girl called Kate and he get loved on here and she get loved in him .,After some years at university he met a girl called Kate and he fell in love with her and she fell in love with him .
A.dev.gold.bea19_000071,Kate was cursing the university of fashion .,Kate was attending university to study fashion .
A.dev.gold.bea19_000072,Then the two started to date .,Then the two started to date .
A.dev.gold.bea19_000073,"Michael and Kate was so happy , until one day that Michael said to him dream to be a super hero , Kate get so nervous saying that it was ridiculous and just a kid dream and that Michael was only dreaming but that would never happen and that super hero do n't exist .","Michael and Kate were so happy , until one day Michael told her about his dream of being a super hero . Kate got so agitated , saying that it was ridiculous and just a kid 's dream and that Michael was only dreaming and that would never happen and that super heroes did n't exist ."
A.dev.gold.bea19_000074,"When she said that , Michael started to cry and get mad saying that she was lying and do n't have heart .","When she said that , Michael started to cry and got mad , saying that she was lying and did n't have a heart ."
A.dev.gold.bea19_000075,He got so mad that he asked her to get out of his apartment .,He got so mad that he asked her to get out of his apartment .
A.dev.gold.bea19_000076,"In following day , she said sorry and them was happy again .","The following day , she said sorry and they were happy again ."
A.dev.gold.bea19_000077,But when them get to the home of Michael they fight again and Michael get a knife and kill her .,"But when they got to Michael 's house , they fought again and Michael got a knife and kill her ."
A.dev.gold.bea19_000078,He cried with a lot blood around .,He cried with a lot of blood around .
A.dev.gold.bea19_000079,Michael get away from there .,Michael got away from there .
A.dev.gold.bea19_000080,Michael closed the door and knew at that moment he had made a mistake .,Michael closed the door and knew at that moment he had made a mistake .
A.dev.gold.bea19_000081,"Public transportation is an important invention in human history , it brings amount of benefits in our life .",Public transportation is an important invention in human history . It brings a number of benefits in our life .
A.dev.gold.bea19_000082,"For instance , we take subway in order to avoid stocking in traffic .","For instance , we take the subway in order to avoid being stuck in traffic ."
A.dev.gold.bea19_000083,"It is true that moving by car is more convenient than take public transportation , however , it would cause more damage to our life and harm our environment .","It is true that travelling by car is more convenient than taking public transportation . However , it will cause more damage to our life and harm our environment ."
A.dev.gold.bea19_000084,"Therefore , we need to think more about our future , our offsprings .","Therefore , we need to think more about our future , our offspring ."
A.dev.gold.bea19_000085,"Giving them a safe , clean and comfortable place to live .","Giving them a safe , clean and comfortable place to live ."
A.dev.gold.bea19_000086,"If there is no public transportation , traffic jam will be serious than before .","If there is no public transportation , traffic jams will be more serious than before ."
A.dev.gold.bea19_000087,"In my country , taipei , we always stock in traffic for about one hour in the morning .","In my city , Taipei , we are always stuck in traffic for about one hour in the morning ."
A.dev.gold.bea19_000088,"I can not imagine if there is no bus or MRT , how long I will take for school .",I can not imagine how long I would take to get to school if there was no bus or MRT .
A.dev.gold.bea19_000089,"Car is convenient for human , but it brings damage for human also .","The car is convenient for humans , but it brings damage for humans too ."
A.dev.gold.bea19_000090,"For example , carbon dioxide which is created by car .","For example , carbon dioxide , which is emitted by cars ."
A.dev.gold.bea19_000091,It cause global warming which threats our environment and harms our daily life .,"It causes global warming , which threatens our environment and harms our daily life ."
A.dev.gold.bea19_000092,"we can see that there are lots of serious and frequently weather disaster happened in decades , such as typhoon , hurricane , wild fire and mud slide .","We can see that there are lots of serious and frequent weather - related disasters happening in recent decades , such as typhoons , hurricanes , wild fires and mud slides ."
A.dev.gold.bea19_000093,"What other precautions , is usually taken ?",What other precautions are usually taken ?
A.dev.gold.bea19_000094,The NG Office is notified by the photographer when the film was shipped .,The NG Office is notified by the photographer when the film was shipped .
A.dev.gold.bea19_000095,"If the film does n't arrive on time , it immediately .","If the film does n't arrive on time , it immediately ."
A.dev.gold.bea19_000096,Lost shipments have been found more easily when this process will be started right away,Lost shipments have been found more easily when this process is started right away .
A.dev.gold.bea19_000097,The pleasure of traveling,The pleasure of traveling
A.dev.gold.bea19_000098,"People go , people come .","People go , people come ."
A.dev.gold.bea19_000099,"Every day lots of people are travelling abroad but , what 's the best way to do an international travel ?","Every day lots of people are travelling abroad but , what 's the best way to do an international trip ?"
A.dev.gold.bea19_000100,"The most important option to travel is , by far , the plane .","The most important option for travel is , by far , the plane ."
A.dev.gold.bea19_000101,"But , even when it 's true that it 's the faster option , you must be very carefuly at time to get off a plane .","But , even if it 's true that it 's the fastest option , you must be very careful when it 's time to get off a plane ."
A.dev.gold.bea19_000102,"If you are looking for confort and relax , obviously , you have to take a boat .","If you are looking for comfort and relaxation , obviously , you have to take a boat ."
A.dev.gold.bea19_000103,There are a wide variety of things to do and enjoy the trip .,There are a wide variety of things to do and enjoy the trip .
A.dev.gold.bea19_000104,"Although , the better option , is pick out a train .","However , the best option is to choose a train ."
A.dev.gold.bea19_000105,"There is n't comparation on watching the changes in the landscape through a window , enjoying the way that you are doing and , the best part , the cheapest way to get away some days and take the routine off some days .","There is n't any comparison with watching the changes in the landscape through a window , enjoying the route that you are taking and , the best part , the cheapest way to get away some days and take the routine off some days ."
A.dev.gold.bea19_000106,"Anyway , no matter how you go , no matter where you go .","Anyway , no matter how you go , no matter where you go ."
A.dev.gold.bea19_000107,The pleasure of travelling is travel at all .,The pleasure of travelling is travel itself .
A.dev.gold.bea19_000108,Transportation one of the most important thing on life so we have many of kinds for transportation now we travel by car but in the near future it will be other comfort and easy ways to travel like fast train and plane that can transport you from north to south in less than hour this will make business men happy and comfort because of saving a lot of times and efforts so we hope that the government can achieve this way as soon as possible,"Transportation is one of the most important things in life , so we have many of kinds of transportation . Now we travel by car , but in the near future there will be other comfortable and easy ways to travel , like fast trains and planes that can transport you from north to south in less than an hour . This will make businessmen happy and comfortable , because of saving a lot of time and effort , so we hope that the government can achieve this as soon as possible ."
A.dev.gold.bea19_000109,"In modern societies , there are lots of friends around our daily lives .","In modern societies , there are lots of friends in our daily lives ."
A.dev.gold.bea19_000110,Big project could not be finished without co - operations .,Big projects could not be finished without cooperation .
A.dev.gold.bea19_000111,"Friends could be communicated and exchanged the ideas , feelings and funny things happened around ourselves .","Friends can communicate and exchange ideas , feelings and funny things that happen around us ."
A.dev.gold.bea19_000112,"More importantly , the parents give our lives and they touch us knowledge and skills or abilities to live in this world .","More importantly , parents give us life and they teach us knowledge and skills or abilities to live in this world ."
A.dev.gold.bea19_000113,"In this case , the families played important roles in daily lives .","In this case , family members play important roles in our daily lives ."
A.dev.gold.bea19_000114,The reasons are as follows .,The reasons are as follows .
A.dev.gold.bea19_000115,"First of all , we could learn lots of skills from parents according to their own experience .","First of all , we can learn lots of skills from parents based on their own experience ."
A.dev.gold.bea19_000116,"For example , we could learn how to communicate with others in a friendly way , and we could also learn how to make a meal from parents .","For example , we can learn how to communicate with others in a friendly way , and we can also learn how to make a meal from parents ."
A.dev.gold.bea19_000117,"Secondly , the families could give you some advice about how to deal with the things which will cause trouble .","Secondly , family members can give you some advice about how to deal with the things which cause you trouble ."
A.dev.gold.bea19_000118,"If difficulties was told to the families , the ideas would come up to your families and communicate with you about how to solve this situation .","If difficulties are shared with family members , ideas will come up to your family members and they will communicate with you about how to solve this situation ."
A.dev.gold.bea19_000119,"All in all , in this case , the families are the most important friends in our lives .","All in all , in this case , family members are the most important friends in our lives ."
A.dev.gold.bea19_000120,"The Computing Technology has been advancing very much this last years , making the old computers almost useless , getting better and making the difference between old and new computers grow even more with every new discoverement .","Computing Technology has been advancing a great deal in recent years , making the old computers almost useless , getting better , and making the difference between old and new computers grow even more with every new invention ."
A.dev.gold.bea19_000121,"As we can notice , old and new computers are vastly different , starting from the size of the computers , old computers were much bigger than new computers .","As we can see , old and new computers are vastly different , starting from the size of the computers . Old computers were much bigger than new computers ."
A.dev.gold.bea19_000122,"Old computers were used to occupy one entire room , now , they only have the size of a box , even the size of a book .","Old computers used to occupy one entire room , now , they are only the size of a box , even the size of a book ."
A.dev.gold.bea19_000123,"You can have a portable computer now , and take it with you to every place you visit .","You can have a portable computer now , and take it with you to every place you visit ."
A.dev.gold.bea19_000124,"Old computers only let you make math tasks , or even play simple games with 2 colors ( green and black ) , but now you can do whatever you want to do , like creating or playing videogames , writing or reading a book , connect to the internet , watch or make videos , invent new stuff to improve the Computing Technology , and not only in 2 colors , but thousand of them .","Old computers only let you do math tasks , or even play simple games with 2 colors ( green and black ) , but now you can do whatever you want to do , like creating or playing video games , writing or reading a book , connect to the internet , watch or make videos , invent new stuff to improve Computing Technology , and not only in 2 colors , but thousands of them ."
A.dev.gold.bea19_000125,"One of the greatest achievements of new computing , is the internet , where you can connect to other computers , download stuff , etc . via Ethernet cable or Wireless Connection ( Wi - Fi ) .","One of the greatest achievements of new computing is the internet , where you can connect to other computers , download stuff , etc . via Ethernet cable or Wireless Connection ( Wi - Fi ) ."
A.dev.gold.bea19_000126,Get rekt m8,Get rekt m8
A.dev.gold.bea19_000127,I went to the abandon house and started to think the best way to make his life miserable i passed the next 2 weeks looking for ideas to make him sufer .,I went to the abandoned house and started to think of the best way to make his life miserable . I spent the next 2 weeks looking for ideas to make him suffer .
A.dev.gold.bea19_000128,"As i did n't found nothing , i went to the place he live at and started to look for some information about his life and found people who he care about so as i continued to go to his houes i notice he will alays go to tehe same house so i decidec to follow him to the house and i foun out he was dating a girl she might be his girlfrien so i finally gota an idea , i would drive him crazy just as he did with me , that way she will think he had problems on his mind and left him , but son i thougt about it again and realized that if i did that she will try to help him and they will be more united , so i decided to drive them both crazy almost at the border of death , jus as he did with me !","As I did n't find anything , I went to the place where he lived and started to look for some information about his life and find people who he cared about . So as I continued to go to his house , I noticed he would always go to the same house , s I decided to follow him to the house and I found out he was dating a girl . She might be his girlfriend , so I finally got an idea . I would drive him crazy just as he did me . That way she would think he had problems with his mind and leave him . But soon i thought about it again and realized that if I did that she would try to help him and they will be more united , so I decided to drive them both crazy , almost to the brink of death , just as he did with me !"
A.dev.gold.bea19_000129,But wait a minute am i really so angry to make this ?,"But wait a minute , am I really sufficiently angry to do this ?"
A.dev.gold.bea19_000130,Yes !,Yes !
A.dev.gold.bea19_000131,"I screamed , my anger had dominated my mind i did nt had no longer control over my actions , i was afarid of what i had become and what i could do , but i could not control my self and the only thing i could think of was him suffering with a slow death and the satisaction i would feel when i finally had my revange , the best revange .","I screamed . My anger had dominated my mind . I did n't have any control over my actions . I was afraid of what I had become and what I could do , but I could not control myself and the only thing I could think of was him suffering a slow death and the satisfaction I would feel when I finally had my revenge . The best revenge ."
A.dev.gold.bea19_000132,"But i was so mad at him and so ansiouns to make his life imposible , and soon my fear of death and my anger for all of the sufering i had been throug became stronger and bigger , i had made a desition i was goingo to do it , if he dedicated 4 years of his life tourtoring me and not wanting me to be happy i would the time is nesesary for him to have a miserable life and i wo nt stop until i had acomplished my goald","But I was so mad at him and so anxious to make his life impossible , and soon my fear of death and my anger for all of the suffering I had been through became stronger and greater . I had made a decision and I was going to do it . If he dedicated 4 years of his life to torturing me and not wanting me to be happy , the time is necessary for him to have a miserable life and I wo n't stop until I have accomplished my goal ."
A.dev.gold.bea19_000133,I 'm not agree with this idea completely .,I do not agree with this idea completely .
A.dev.gold.bea19_000134,On the one hand travel by car are really much more convenient as give the chance to you to be independent .,"On the one hand , travel by car is really much more convenient , as it gives you the chance to be independent ."
A.dev.gold.bea19_000135,On the other hand huge traffic jams are a big issue for travelling by car .,"On the other hand , huge traffic jams are a big issue when travelling by car ."
A.dev.gold.bea19_000136,My Favourite sport,My Favourite sport
A.dev.gold.bea19_000137,I bornt to be a football player .,I was born to be a football player .
A.dev.gold.bea19_000138,"For me , football is everything in my life .","For me , football is everything in my life ."
A.dev.gold.bea19_000139,"When I see football on the television I dream with play in a big team and in a big championship like Barclays Premier League , Ligue 1 or Liga BBVA .","When I watch football on television I dream of playing in a big team and in a big championship like the Barclays Premier League , Ligue 1 or Liga BBVA ."
A.dev.gold.bea19_000140,"My favourite clubs are Benfica and Real Madrid , where Ronaldo plays , for me he is the Best Player in the world , that is why Ronaldo won the Gold ball of 2014 .","My favourite clubs are Benfica and Real Madrid , where Ronaldo plays . For me , he is the best player in the world . That is why Ronaldo won the Gold ball in 2014 ."
A.dev.gold.bea19_000141,I play football in a Portuguese club called valenciano and we won a lot of games this season .,I play football for a Portuguese club called Valenciano and we won a lot of games this season .
A.dev.gold.bea19_000142,"I dream in win a lot os leagues in Football and win the best championship , the Uefa Champions League and the best scorer of all the time in Uefa Champions League is Cristiano Ronaldo , my favourite player .","I dream of winning a lot of leagues in football and winning the best championship , the Uefa Champions League , and the best scorer of all time in Uefa Champions League is Cristiano Ronaldo , my favourite player ."
A.dev.gold.bea19_000143,I play football because I like but the only reason that I do it hardly is because of my dad .,I play football because I like it but the only reason that I do it hardly is because of my dad .
A.dev.gold.bea19_000144,His dream is that I become the next captain of a big team and win a lot of money .,His dream is that I become the next captain of a big team and win a lot of money .
A.dev.gold.bea19_000145,My name is Jonny .,My name is Jonny .
A.dev.gold.bea19_000146,I graduated from National Taiwan Unerversity of Science and Technology .,I graduated from National Taiwan University of Science and Technology .
A.dev.gold.bea19_000147,I am 25 years old .,I am 25 years old .
A.dev.gold.bea19_000148,I am interested in looking after chilren and playing with chilfen .,I am interested in looking after children and playing with children .
A.dev.gold.bea19_000149,"I like personality with childlike , so I like children .","I like childlike people , so I like children ."
A.dev.gold.bea19_000150,I had experience of holding basketball competition when I was student .,I have experience of holding basketball competitions when I was a student .
A.dev.gold.bea19_000151,I Planned many interesting activities for views to make competition alive .,I planned many interesting activities for views to make competitions come alive .
A.dev.gold.bea19_000152,They enjoyed the game .,They enjoyed the game .
A.dev.gold.bea19_000153,I also like to cook .,I also like to cook .
A.dev.gold.bea19_000154,"If my mom cooks , I always help her .","If my mom cooks , I always help her ."
A.dev.gold.bea19_000155,"My personality is cheerful , energetic and hardworking .","My personality is cheerful , energetic and hardworking ."
A.dev.gold.bea19_000156,I always simle to people .,I always smile at people .
A.dev.gold.bea19_000157,I really want to get this job .,I really want to get this job .
A.dev.gold.bea19_000158,I want to play with children and see their simle all day .,I want to play with children and see their smiles all day .
A.dev.gold.bea19_000159,I think that smile is the best gift in this world .,I think that a smile is the best gift in this world .
A.dev.gold.bea19_000160,I am also a hard worker .,I am also a hard worker .
A.dev.gold.bea19_000161,I have passion for this job .,I have passion for this job .
A.dev.gold.bea19_000162,"If you think me is the right person you want , please give me a responese , Thanks .","If you think I am the right person you want , please send me a reply . Thank you ."
A.dev.gold.bea19_000163,public transportation has been more used by people and over the years it is kind of becoming cheaper and also more safe but some people prefer cars to extent do we agree with and what is our reasons for that that is what are we going to demonstrate in this essay,"Public transportation has been used by people more and over the years it has been kind of becoming cheaper and also safer , but some people prefer cars . To what extent do we agree with this and what are our reasons for that ? That is what we are going to demonstrate in this essay ."
A.dev.gold.bea19_000164,before about 40 years there was nothing called public transportation and people rarely owned cars so in those years there was not even good facility to move from place to other and that is because there was no companies to build cars in about 10 years cars trading became viable and also became very supported by having her own fans at the beginning the faced a lot of problems but they were able to solve it by the end,"About 40 years ago , there was nothing called public transportation and people rarely owned cars , so in those years there were not even good facilities to move from one place to another and that is because there were no companies to build cars . After about 10 years , car trading became viable and also became very supported by having her own fans . At the beginning , they faced a lot of problems , but they were able to solve them in the end ."
A.dev.gold.bea19_000165,nowadays all facilities of travelling are more convenient from cars to buses even trains and planes .some people prefer cars because the do like crowded places or because the find it sometimes cheaper but from another point of view public transportation is very cheap and even faster but when it comes to traveling a lot of people prefer riding their own cars to feel the real experience and to enjoy more by chilling out from crowded places,"Nowadays all modes of transport are more convenient , from cars to buses , even trains and planes . Some people prefer cars because they do not like crowded places or because they find it cheaper sometimes , but from another point of view , public transportation is very cheap and even faster . But when it comes to traveling , a lot of people prefer driving their own cars to feel the real experience and to enjoy themselves more by avoiding crowded places ."
A.dev.gold.bea19_000166,to summaries it is different from some oneis opinion to another i predict that public transportation will be improved and people will use it more and more that by the end cars will disappear and will will no longer be used,"To summarise , it is different from some oneis opinion to another . I predict that public transportation will be improved and people will use it more and more , and that in the end , cars will disappear and will no longer be used ."
A.dev.gold.bea19_000167,The topic itself explaining the uncertainty of public transport in our country .,The topic itself explaining the uncertainty of public transport in our country .
A.dev.gold.bea19_000168,"This conclusion become more prominent if we look into the data of the car companies and exponential growth in their sales figure and with low budget private cars in picture , scenario ddrastically changed in past 10 years","This conclusion becomes more prominent if we look into the data of the car companies and the exponential growth in their sales figures and , with low budget private cars in the picture , the scenario has drastically changed in the past 10 years ."
A.dev.gold.bea19_000169,Development of biodiesel industry can be a contribution to productivity growth .,Development of the biodiesel industry can make a contribution to productivity growth .
A.dev.gold.bea19_000170,A large scale of investment was bring for biofuel development .,A large scale of investment was brought to biofuel development .
A.dev.gold.bea19_000171,"Meanwhile , it boost economic growth and jobs opportunity , thereby enhance Gross Domestic Product ( GDP ) .","Meanwhile , it boosted economic growth and job opportunities , thereby enhancing Gross Domestic Product ( GDP ) ."
A.dev.gold.bea19_000172,"If you are living in big town or small It does matter but one thing should be taking care by the people and organiser of the town , is environment .","If you live in a big town or a small one , it does n't matter , but one thing that should be taken care of by the people and organisers of the town , is the environment ."
A.dev.gold.bea19_000173,Global warming is huge issue in today 's date .,Global warming is a huge issue these days .
A.dev.gold.bea19_000174,Government should take immense action to stop it or at least make it slow down .,Governments should take immense action to stop it or at least make it slow down .
A.dev.gold.bea19_000175,However we the people have really important part of making it worse .,"However , we , the people , play a really important part in making it worse ."
A.dev.gold.bea19_000176,"Active and a good government understand the value of taking care of trees and water and air and much more to provide a fresh , clean and safe environment to their people .","Active and a good government understand the value of taking care of trees and water and air and much more to provide a fresh , clean and safe environment for their people ."
