sentence_id,source,reference
B.train.gold.bea19_000368,You can get to know other countires and new individuals .,You can get to know other countries and new individuals .
ABC.train.gold.bea19_006239,I carefully approached the window of the house and I see two men with the paintings .,I carefully approached the window of the house and I saw two men with the paintings .
ABC.train.gold.bea19_022305,Tanny is a human - rocket that 's warming up on a neighbor track line .,Tanny is a human rocket that 's warming up on a neighboring track lane .
B.train.gold.bea19_000537,This new way of teaching pupils has received a mix response .,This new way of teaching pupils has received a mixed response .
ABC.train.gold.bea19_002209,what the meaning of friend ?,What is the meaning of friend ?
ABC.train.gold.bea19_030671,Kids have to pay 10 euros just for the entrance getting anything else .,Kids have to pay 10 euros just for entrance before getting anything else .
B.train.gold.bea19_003379,"Luckily , we are in touch .","Luckily , we are in touch ."
ABC.train.gold.bea19_022377,My mother always helps me to choose the best option too .,My mother always helps me to choose the best option too .
ABC.train.gold.bea19_028533,"As only a gentleman would do , he apologised and introduced himself to the Princess :","As only a gentleman would do , he apologised and introduced himself to the Princess :"
A.train.gold.bea19_000484,My family livs in a,My family lives in a
A.train.gold.bea19_008598,My city is Jaén it 's in the east of Andalucia and is an important cross ways between the south and center os Spain .,My city is Jaén . It 's in the east of Andalucia and is an important crossroads between the south and the center of Spain .
ABC.train.gold.bea19_000524,My favorite sport game is Cricket .,My favorite sport is Cricket .
ABCN.dev.gold.bea19_001851,"Anyway , you need to get to the centre . I 'll wait for you there .","Anyway , you need to get to the centre . I 'll wait for you there ."
N.dev.gold.bea19_000112,E.R.M. is already upon us but in this area I feel Britain should be especially careful .,"E.R.M. is already upon us , but in this area I feel Britain should be especially careful ."
A.train.gold.bea19_007069,One of my favourite books are Diary of a Wimpy Kid .,One of my favourite books is Diary of a Wimpy Kid .
A.train.gold.bea19_002571,See you soon .,See you soon .
A.train.gold.bea19_008015,"Unfortunately , he refused me .","Unfortunately , he refused me ."
B.train.gold.bea19_006446,At my school I do n't do that much because we are just five people that are worried about the world .,"At my school , I do n't do that much because there are just five of us that are worried about the world ."
A.train.gold.bea19_009370,"It depicts the growth of the population in "" Germany "" .","It depicts the growth of the population in "" Germany "" ."
B.train.gold.bea19_012562,"Sincerely ,","Yours faithfully ,"
C.train.gold.bea19_001640,"The success of the soap opera depends on the theme , the people have to weather to relate to it or have interest on it .","The success of the soap opera depends on the theme , the people have to decide whether to relate to it or take an interest in it ."
A.train.gold.bea19_008833,"the main character is so cool , charismatic , and patient .","The main character is so cool , charismatic , and patient ."
C.train.gold.bea19_009457,"In my opinion , parents should be concerned for their family 's comfort and should motivate their children to do sport , be in contact with a lot of people and avoid eating fast food .","In my opinion , parents should be concerned about their family 's comfort and should motivate their children to do sport , be in contact with a lot of people and avoid eating fast food ."
A.train.gold.bea19_000493,He is 24 years old and he looks very similar to me .,He is 24 years old and he looks very similar to me .
A.train.gold.bea19_008517,But is this idea a way to reduce the bad habit of consume noxious foodstuff ?,But is this idea a way to reduce the bad habit of consuming harmful foodstuffs ?
A.train.gold.bea19_008370,Adolescent has always been the hardest part throughout anybody 's whole life ..,Adolescence has always been the hardest part in anybody 's whole life .
ABC.train.gold.bea19_032688,"When he grew up he struggled to pass his illness and he became a sane , strong , handsome young adult man .","When he grew up he struggled to overcome his illness and he became a sane , strong , handsome young adult man ."
ABC.train.gold.bea19_030414,"Thereby , engineers must take demanding knowledge to be successful in a career .","Therefore , engineers must take demanding knowledge to be successful in a career ."
ABC.train.gold.bea19_000749,"And the government , pls do n't be so flabby with your own citizen .","And government , please do n't be so flabby with your own citizen ."
ABC.train.gold.bea19_015001,Let 's talk about sports,Let 's talk about sports
ABC.train.gold.bea19_033890,We are also able to protect ourselves from various diseases and help the sick .,We are also able to protect ourselves from various diseases and help the sick .
ABC.train.gold.bea19_019045,"However , I must pay the fee and every evening it 's my commitment study something or do my homework .","However , I must pay the fee and every evening it 's my commitment to study something or do my homework ."
B.train.gold.bea19_004985,I knew everything .,I know everything .
ABC.train.gold.bea19_017632,"Secondly , the mandatory military service can develop the character of a person , making it stronger .","Secondly , mandatory military service can develop the character of a person , making it stronger ."
ABC.train.gold.bea19_030151,The adepts of this idea usually mention extraordinary people in order to reinforce their own believe in their child 's potential to become a known genius .,The adherents of this idea usually mention extraordinary people in order to reinforce their own belief in their child 's potential to become a famous genius .
C.train.gold.bea19_004380,"For example , only 10% percent of the boys never do that and 24% go to nightspots at least one time a week .","For example , only 10% of the boys never do that and 24% go to nightspots at least once a week ."
B.train.gold.bea19_003647,"All in all , Public transport is not as fast as a car can be ; it 's not as convenient as a car can provide , so it 's future is in doubt .","All in all , public transport is not as fast as a car can be , it 's not as convenient as a car can be , so its future is in doubt ."
ABC.train.gold.bea19_004542,"What is more , you will not be satisfied with the shopping if you lack money and can not afford to buy the thing which you really want .","What is more , you will not be satisfied with the shopping if you lack money and can not afford to buy the thing that you really want ."
A.train.gold.bea19_001569,Buses run with petrol that causes pollution .,Buses run on petrol that causes pollution .
ABC.train.gold.bea19_028754,Singapore could be the place that you would find everything you are looking for .,Singapore could be the place where you will find everything you are looking for .
C.train.gold.bea19_005366,"You also need to know some basic rules such as putting out your arm to indicate when you turn and of course , you need to know the highway code .","You also need to know some basic rules such as putting out your arm to indicate when you turn and , of course , you need to know the highway code ."
B.dev.gold.bea19_000552,Not all people like the idea of Googlemobile .,Not all people like the idea of Googlemobile .
B.train.gold.bea19_000595,"But when do this , they expose a lot of details about themselves , details that everyone can see , especially strange people .","But when they do this , they expose a lot of details about themselves , details that everyone can see , especially strangers ."
ABC.train.gold.bea19_029091,"Or maybe during the year off somebody could also decide that they do n't want to continue their studies , because they already found what they want to do or be .","Or maybe , during the year off , somebody could also decide that they do n't want to continue their studies , because they have already found what they want to do or be ."
ABC.train.gold.bea19_021151,"In Extremadura , the second transport most used is the bus .","In Extremadura , the second most used mode of transport is the bus ."
B.train.gold.bea19_003253,"I am in 5th semester of Industrial Designer , and I have 500 points in my TOEFL .","I am in the 5th semester of Industrial Design , and I have 500 points in my TOEFL ."
A.train.gold.bea19_009677,Best wishes .,Best wishes .
ABC.train.gold.bea19_000439,My favourite sport is swimming because as soon as start this sport you feel better .,"My favourite sport is swimming , because as soon as you start this sport , you feel better ."
C.dev.gold.bea19_000203,She did not feel bad about it because she loves her parents very much and she feels loved by them .,She did not feel bad about it because she loved her parents very much and she felt loved by them .
ABC.train.gold.bea19_028019,"Stalkers , pedophiles , human traffickers , murderers and other criminals ; these are just a small part of the threats you can come across on Facebook .","Stalkers , pedophiles , human traffickers , murderers and other criminals ; these are just a small part of the threats you can come across on Facebook ."
ABC.train.gold.bea19_019656,I wish you love it either !,I hope you love them too !
B.train.gold.bea19_008314,"It is my contention that the people , who have the ability to adapt or adjust conditions or circumstances have higher percentage be successful in school or work .",It is my contention that people who have the ability to adapt or adjust to conditions or circumstances have a higher likelihood of being successful in school or work .
A.train.gold.bea19_007102,The life in university have a lot of difficult and interesting things .,Life at university involves a lot of difficult and interesting things .
A.train.gold.bea19_000129,"In addition , you wo n't have better opportunity to see it than this week , because just moment in Spain the festival 's cinema is happening .","In addition , you wo n't have a better opportunity to see it than this week , because just now in Spain the cinema festival is taking place ."
A.train.gold.bea19_005664,"He 's back home for getting ready for school when he 's try to forget what he saw , but he ca n't .","He went back home to get ready for school and he tried to forget what he had seen , but he could n't ."
A.train.gold.bea19_005492,enjoy .,enjoy .
A.train.gold.bea19_004980,"Lastly , workshops about conservation of environment to increase environmental awareness among people to encourage them to take care of their city , and how they can recycle some rubbish to beneficial objects to exploit it at home .","Lastly , workshops about conservation of the environment to increase environmental awareness among people , to encourage them to take care of their city , and teach them how they can recycle some rubbish to make useful objects to use at home ."
B.train.gold.bea19_003023,"In conclusion , while salary still plays a role and certainly affects people 's choice of profession , I believe that money does not outweigh all the other factors .","In conclusion , while salary still plays a role and certainly affects people 's choice of profession , I believe that money does not outweigh all the other factors ."
A.train.gold.bea19_003621,It was n't that easy for the couple with two little girls .,It was n't that easy for the couple with two little girls .
ABC.train.gold.bea19_019662,We live in an area where its population has all types of animals which can get hurt very easily by human 's activities ; so in our community we have very strict rules when referring to taking care of the environment .,We live in an area where the population has all types of animals which can get hurt very easily by human activities ; so in our community we have very strict rules when it comes to taking care of the environment .
C.train.gold.bea19_008172,"With competition giving him no choice at all , the producer is forced to abide by the market equilibrium .","With competition giving him no choice at all , the producer is forced to abide by the market equilibrium ."
ABC.train.gold.bea19_023475,"The increase in the fuel cost for example , will have surely a negative impact on the use of private vehicles .","The increase in the fuel cost , for example , will surely have a negative impact on the use of private vehicles ."
B.train.gold.bea19_005811,Do you remember ?,Do you remember ?
A.train.gold.bea19_003634,I come from Ninh Binh province .,I come from Ninh Binh province .
A.train.gold.bea19_004905,I would like to spend this Saturday with you ) ),I would like to spend this Saturday with you ) )
C.train.gold.bea19_002868,"Also , Ss were writing the sentences individually in their notebook instead of choosing only one person to write for the whole team .","Also , Ss were writing the sentences individually in their notebook instead of choosing only one person to write for the whole team ."
C.train.gold.bea19_001767,If only I had looked a bit better where I placed my feet ...,If only I had looked a bit more carefully where I placed my feet ...
A.train.gold.bea19_004887,"One day I visit my friend Jimmy in New York city , he was a young man who was specialist on trains and tourism , he talked about how the citizens and the commuters move from one place to another , he told me that the grand central terminal was the largest terminal of the city , he show me were the landmarks of the big apple were so sightseers could go , he show me the city and we went to different parts first he took me to Columbus circle in the south west corner of central park were there were the most expensive apartments then we went to the lake were the jogging tracks that circle the lake area popular with early morning visitors , then we went to the museum of natural history that was located near the metropolitan museum of art then I got focal on the subway trains so we went to Grand central terminal when we arrive I was amazed to see many people going to work so he told me that it was conveniently for people to use the train because is very fastest and for the government it was a grat economic business then he told me that one of the characteristics of","One day I visited my friend Jimmy in New York city . He was a young man who was an expert on trains and tourism . He talked about how citizens and commuters move from one place to another . He told me that Grand Central Station was the largest terminus in the city . He showed me where the landmarks of the Big Apple were so sightseers could go there . He showed me the city and we went to different parts . First he took me to Columbus Circle in the south west corner of Central Park where there were the most expensive apartments . Then we went to the lake where the jogging tracks that circle the lake are popular with early - morning visitors . Then we went to the Museum of Natural History that was located near the Metropolitan Museum of Art . Then I got focal on the subway trains , so we went to Grand Central Station . When we arrived , I was amazed to see a lot of people going to work , so he told me that it was convenient for people to use the train because it is very fast and for the government it was a great economic business . Then he told me that one of the characteristics of"
A.train.gold.bea19_009530,This film is about a family that lives in a very big house .,This film is about a family that lives in a very big house .
N.dev.gold.bea19_000116,To conclude I would say a single Europe is already happening and that it will continue to do so is guaranteed .,"To conclude , I would say a single Europe is already happening and that it will continue to do so is guaranteed ."
B.train.gold.bea19_008477,"Dear Mr ... ,","Dear Mr ... ,"
A.train.gold.bea19_000146,"Sachin and Ganguly was my favorite cricketers , I love their batting .",Sachin and Ganguly were my favorite cricketers . I love their batting .
C.train.gold.bea19_007506,She was embarrassed that she did not recognise him .,She was embarrassed that she did not recognise him .
ABC.train.gold.bea19_024480,"She always wanted to be in the spotlights , in which she had always succeeded , since everyone adored her .","She always wanted to be in the spotlight , and she had always succeeded , since everyone adored her ."
C.train.gold.bea19_009501,I would be able to start immediately .,I would be able to start immediately .
A.train.gold.bea19_002819,"Mom and dad spent their life to grow up their children , to feed them , to love them !","Mom and dad spend their life raising their children , feeding them , loving them !"
A.dev.gold.bea19_000628,Let us play cards .,Let us play cards .
ABC.train.gold.bea19_033897,"At some time or another , each and every young person must provide themselves with the necessary skills . « What can I do for my life ? » .","At some time or another , each and every young person must provide themselves with the necessary skills . "" What can I do with my life ? "" ."
ABC.train.gold.bea19_033141,"I know the only time you have to go there is in the morning , before you go to work , so I would like to ask you to give priority in changing the water for my bird , and seeing if there is still enough seeds in her bowl which , by the way , are in a box next to the cage .","I know the only time you have to go there is in the morning , before you go to work , so I would like to ask you to give priority to changing the water for my bird , and seeing if there are still enough seeds in her bowl which , by the way , are in a box next to the cage ."
C.train.gold.bea19_004612,It 's good to know that you 'll be in the shop next Saturday while I 'm away in Lugo .,It 's good to know that you 'll be in the shop next Saturday while I 'm away in Lugo .
ABC.train.gold.bea19_027322,There is a great public transport syste .,There is a great public transport system .
C.train.gold.bea19_009221,Ainoa .,Ainoa .
B.train.gold.bea19_011216,"My favourite actor is Tom Cruise and consequently the best film I have ever seen was "" Far away , far away "" , where he plays starring role with his ex - wife Nicole Kidman .","My favourite actor is Tom Cruise and , consequently , the best film I have ever seen was "" Far away , far away "" , where he plays the starring role with his ex - wife Nicole Kidman ."
ABCN.dev.gold.bea19_002179,"Last Friday , Michael and I was in the school playing happily with each other in the classroom .","Last Friday , Michael and I were at school playing happily with each other in the classroom ."
B.train.gold.bea19_004631,"The government is not only one to blamed but also people who leaving here , who never cares of their environment .","The government is not the only one to blame , but also the people who live here , who never care about their environment ."
ABC.train.gold.bea19_022938,I think that international sporting occasions can be one of the best ways to ease tensions or to release patriotism safely .,I think that international sporting occasions can be one of the best ways to ease tensions or to release patriotism safely .
B.train.gold.bea19_009268,"I also recycle my old paper material such as old books , and this greatly helps our atmosphere thanks to the decrease in hazardous gases resulting from burned waste .","I also recycle my old paper , such as old books , and this greatly helps our atmosphere thanks to the decrease in hazardous gases resulting from burned waste ."
ABC.train.gold.bea19_026634,"And we can see these examples in many situations , when we find inept and incompetent workers .","And we can see these examples in many situations , when we find inept and incompetent workers ."
C.train.gold.bea19_000561,It was an amazing and very instructive summer camp and I must say that I am the proud owner of the captain camp assistant badge .,It was an amazing and very instructive summer camp and I must say that I am the proud owner of the captain camp assistant badge .
C.train.gold.bea19_005760,"First of all , I 'm really happy you accepted my invitation .","First of all , I 'm really happy you accepted my invitation ."
ABC.train.gold.bea19_029612,Nuclear power plants have a high risk of pollution in case of accident .,Nuclear power plants have a high risk of pollution in the event of an accident .
B.train.gold.bea19_011582,"I have three more days to prepare myself better , but to be honest I 'm not in the mood of studying .","I have three more days to prepare myself better , but to be honest , I 'm not in the mood for studying ."
B.train.gold.bea19_012209,"First , as the technology developed , we may find visiting museum is far from convenient .","First , as technology has developed , we may find visiting museums is far from convenient ."
ABC.train.gold.bea19_019193,"On the other hand it will lead to more driving , because smarter driving reduces the cost per mile of vehicle usage .","On the other hand , it will lead to more driving , because smarter driving reduces the cost per mile of vehicle usage ."
A.train.gold.bea19_007887,My thoughts are unquestionably better than others .,My thoughts are unquestionably better than others ' .
C.train.gold.bea19_001199,"Surprisingly , the result illustrated that these robots can not only put words in right order grammatically , but also recognise whether a sentence is correct or not .","Surprisingly , the result illustrated that these robots can not only put words in the right order grammatically , but also recognise whether a sentence is correct or not ."
ABC.train.gold.bea19_014835,one can easily deduce information of culprits with partial form of latent fingermark .,One can easily deduce information about culprits from the partial form of a latent fingerprint .
C.train.gold.bea19_003516,I am a 16-year - old teenager from Argentina and at present I am in a double shift secondary school .,I am a 16-year - old teenager from Argentina and at present I am in a double shift secondary school .
A.train.gold.bea19_007497,The school is the Spanish institution in charge of training the Spanish navy officer class .,The school is the Spanish institution in charge of training the Spanish navy officer class .
B.train.gold.bea19_011486,"Firstly , there were 3 main gates , the center one only for the king , the left side one was for administrators , the right site one was for military .","Firstly , there were 3 main gates , the center one only for the king , the left side one was for administrators , the right side one was for the military ."
B.train.gold.bea19_005893,"As far as I 'm concerned , there are more disadvantages .","As far as I 'm concerned , there are more disadvantages ."
ABC.train.gold.bea19_023748,Researchers say that an average adult in the developed world is now exposed to hundreds of commercial messages every day .,Researchers say that an average adult in the developed world is now exposed to hundreds of commercial messages every day .
A.train.gold.bea19_004941,I love this family because it is a single mother and I think it is easier,I love this family because it is a single mother and I think it is easier .
B.train.gold.bea19_000066,"With reference to your advertisement posted on the web ( CareerCast IT ) a few days ago , I am sending you attached my curriculum vitae in support of my application for the following position : Graduate Project Engineer , which are being offered at your company .","With reference to your advertisement posted on the web ( CareerCast IT ) a few days ago , I am sending you attached my curriculum vitae in support of my application for the following position : Graduate Project Engineer , which is being offered at your company ."
B.train.gold.bea19_008351,Tom had faith this day will be better than the others .,Tom had faith this day would be better than the others .
A.train.gold.bea19_007923,I discovered a new world .,I discovered a new world .
ABC.train.gold.bea19_014155,"If I could change places for 24 hours with a famous person , I would like to be Paula Echevarria","If I could change places for 24 hours with a famous person , I would like to be Paula Echevarria ."
ABC.train.gold.bea19_016254,He still needs to find an ATM to withdrawl some money to pay for his appointment .,He still needs to find an ATM to withdraw some money to pay for his appointment .
ABC.train.gold.bea19_024221,My duties were pretty simple .,My duties were pretty simple .
B.train.gold.bea19_003470,"In this respect , newspapers seem to be more credible than numerous websites that make up fake stories much more than publishing real news .","In this respect , newspapers seem to be more credible than numerous websites that make up fake stories much more than publishing real news ."
C.train.gold.bea19_003639,"Restpectfully ,","Yours faithfully ,"
C.train.gold.bea19_007337,"Not only do I have a big nuclear family who is made up by four siblings , but I also have a big extended family .","Not only do I have a big nuclear family which is made up of four siblings , but I also have a big extended family ."
B.train.gold.bea19_003074,Angel,Angel
ABC.train.gold.bea19_016483,"I 'll have plenty of time to do what I want , however I would like to spend my time in the right things .","I 'll have plenty of time to do what I want , but I would like to spend my time doing the right things ."
ABC.train.gold.bea19_005847,"when i ran with the ball , i feel that i hold a goal or a valuable something and i should offer my best to put it in his place and make it in right way .","When I run with the ball , I feel like I am holding a goal or a valuable object and I should offer my best to put it in its place and do it in the right way ."
ABC.train.gold.bea19_019297,Because human activity releases into the air substances that damage several things in our planet such as the atmosphere and ecosystems .,"This is because human activity releases into the air substances that damage several things on our planet , such as the atmosphere and ecosystems ."
ABC.train.gold.bea19_008817,"But let me tell you it was a concert that the performed Lala Band and I have taken and I especially , I was the cameraman .","But let me tell you it was a concert by the Lala Band and I have taken and I especially , I was the cameraman ."
A.train.gold.bea19_001018,It is the story about a little lion and his life .,It is a story about a little lion and his life .
ABC.train.gold.bea19_017383,From the airport to my house there are just 5 minutes .,It is just 5 minutes from the airport to my house .
A.train.gold.bea19_001293,I found your web site and this my first try .,I found your website and this is my first try .
B.train.gold.bea19_008666,And how was your weekend ? Hope to see you soon !,And how was your weekend ? Hope to see you soon !
B.train.gold.bea19_011733,In general the facilities are well preserved but the majority of the users think that the installation should have an improvement in the baskteball and tennis courts maybe the bathroom should be remodelled .,"In general , the facilities are well maintained but the majority of the users think that the installation should be improved in the basketball and tennis courts and maybe the bathroom should be remodelled ."
A.train.gold.bea19_004378,It is difficult to imagine how we can live without it .,It is difficult to imagine how we could live without it .
C.dev.gold.bea19_000490,To : gKL6@yahoo.com,To : gKL6@yahoo.com
ABC.train.gold.bea19_014715,"Not only it is the popular place among young Polish citizens , but also it is very extraodrinary : people can walk the red carpet and drink the most famous drinks .","Not only is it the popular place among young Polish citizens , but it is also really extraordinary : people can walk the red carpet and drink the most famous drinks ."
A.train.gold.bea19_003743,"On the other hand , the farmer who owns the sheep refused to sell the sheep for higher price than normal to the circus .","On the other hand , the farmer who owns the sheep refused to sell the sheep for a higher price than normal to the circus ."
ABC.train.gold.bea19_012547,Because I want to improve my language skills I want to go with you on a camp .,"Because I want to improve my language skills , I want to go with you on a camp ."
ABCN.dev.gold.bea19_002315,"Exultation seized my mind instantly , but I soon began to worry : "" What will I do with this amount of money ? ""","Exultation seized my mind instantly , but I soon began to worry : "" What will I do with this amount of money ? """
C.train.gold.bea19_006437,Learning another language is a wonderful way of learning about another country .,Learning another language is a wonderful way of learning about another country .
ABC.train.gold.bea19_000578,Rate is pretty low .,Rate is pretty low .
ABCN.dev.gold.bea19_003325,"Dear group leader ,","Dear group leader ,"
B.train.gold.bea19_008655,We had so much fun !,We had so much fun !
ABC.train.gold.bea19_019249,I am writing to you because I am interested in booking this service at your hotel and would like to receive some further information in advance .,I am writing to you because I am interested in booking this service at your hotel and would like to receive some further information in advance .
ABC.train.gold.bea19_018666,"Finally , I 'm afraid my parents ca n't take me to your home on Friday evening , because it 's my grandfather 's birthday .","Finally , I 'm afraid my parents ca n't bring me to your home on Friday evening because it 's my grandfather 's birthday ."
ABC.train.gold.bea19_000490,"Kind Regards ,","Kind Regards ,"
ABC.train.gold.bea19_033377,"And thirdly , it is an activity where I have been able to make new friends who , besides playing football as me , are very similar to me in other features .","And thirdly , it is an activity where I have been able to make new friends who , besides playing football like me , are very similar to me in other ways ."
B.train.gold.bea19_012527,And many more .,And many more .
ABC.train.gold.bea19_001510,"It is inevitably true that , excessive use of public transport leads to higher level of pollution .",It is inevitably true that excessive use of public transport leads to higher levels of pollution .
A.train.gold.bea19_000498,This is a power of the information technology .,This is the power of information technology .
ABC.train.gold.bea19_023089,To be a fan of NFL team is very special experience .,Being a fan of an NFL team is a very special experience .
ABC.train.gold.bea19_023173,"One argument in favour of this idea is that Peruvian people who learn English for a short period and then travel abroad , have an enhancement in just one or two months .",One argument in favour of this idea is that Peruvian people who learn English for a short period and then travel abroad show an improvement in just one or two months .
ABC.train.gold.bea19_006662,After one month my instructor told me that I will go to the competition .,"After After one month , my instructor told me that I would enter the competition ."
C.train.gold.bea19_009919,I started walking towards my house when she yelled :,I started walking towards my house when she yelled :
B.train.gold.bea19_000232,Working holidays abroad,Working holidays abroad
ABC.train.gold.bea19_023003,"On the other hand , near Mediterranean Sea there are a lot of towns with fantastic beaches which water is very clean and warm .","On the other hand , near the Mediterranean Sea there are a lot of towns with fantastic beaches where the water is very clean and warm ."
ABC.train.gold.bea19_014777,"Recently I saw some pretty good films called "" The Wolf of Wall Street "" and "" Capitan Philips "" , films that caught my attention since the first minute .","Recently , I saw two pretty good films called "" The Wolf of Wall Street "" and "" Capitan Philips "" , films that held my attention from the first minute ."
A.train.gold.bea19_004512,but nobody was opening doors .,but nobody was opening their doors .
ABC.train.gold.bea19_032719,Well as the day was coming to a close Michael had a distinct feeling that something just was n't correct but he dismissed that feeling and continued with his day as he usually does .,"Well , as the day was coming to a close , Michael had a distinct feeling that something just was n't correct but he dismissed that feeling and continued with his day as he usually does ."
A.train.gold.bea19_003599,Crowd is more and all the people want to travel by public transport so it is difficult to travel . Best way to travel in there,"There are more crowds and all the people want to travel by public transport , so it is difficult to travel . The best way to travel is in their"
B.train.gold.bea19_001397,Thank you for your time !,Thank you for your time !
A.train.gold.bea19_001047,That all I can say . I love football very much,That is all I can say . I love football very much .
ABC.train.gold.bea19_025090,"Teenagers , however , use this technology in a way that could be dangerous .","Teenagers , however , use this technology in a way that could be dangerous ."
A.train.gold.bea19_005448,"For all the people I advise to start to play or watching football because for me it is a very good sport , but you can play a good football only if you really like it , because first football is fun .","For all the people , I advise you to start playing or watching football , because , for me , it is a very good sport . But you can only play football well if you really like it , because , first and foremost , football is fun ."
A.train.gold.bea19_009943,"She always helps me in whatever I need , and she 's amazing .","She always helps me with whatever I need , and she 's amazing ."
ABCN.dev.gold.bea19_001538,"Everybody can not afford a travel through car as it is costly , but to discuss the benefits , one can enjoy high privacy during travel and is convenient","Not everybody can afford a journey by car as it is costly , but to discuss the benefits , one can enjoy a high level of privacy while travelling and it is convenient"
N.dev.gold.bea19_000905,"After the Baron is caught bathing with the Mussalman , he receives 100 lashes for his sin .","After the Baron is caught bathing with the Muslim , he receives 100 lashes for his sin ."
A.train.gold.bea19_009914,Several years ago we had wonderful lawns with a lot of local plants and grass .,Several years ago we had wonderful lawns with a lot of local plants and grass .
ABC.train.gold.bea19_011592,"Because it was our first day at Algarve , we decided to explore , a bit more of the area .","Because it was our first day in the Algarve , we decided to explore a bit more of the area ."
ABC.train.gold.bea19_020427,"They might be there for you , preparing menus and a big extension of exercises that will help you and change your health and body only if you cooperate .","They can be there for you , preparing menus and a big extension of exercises that will help you and change your health and body , but only if you cooperate ."
C.train.gold.bea19_004821,"First , to travel by boat is a very relaxing and carefree experience , compared to being confined to a very narrow and limited little space on the seat of a plane .","First , to travel by boat is a very relaxing and carefree experience , compared to being confined to a very narrow and limited little space on the seat of a plane ."
B.train.gold.bea19_012043,Now that we have a wonderful idea I thought you would want to hear about it .,"Now that we have a wonderful idea , I thought you would want to hear about it ."
ABC.train.gold.bea19_014492,"If the government provide good transport infrastructure like modern and comfort buses , traffic free Metro lines then people would rather to use public transport than travelling by car .","If the government provided good transport infrastructure like modern and comfort buses , traffic free Metro lines , then people would rather use public transport than travel by car ."
A.train.gold.bea19_002358,I came from a large family and I have two younger sisters with age of 10 and 12 .,I come from a large family and I have two younger sisters aged 10 and 12 .
ABC.train.gold.bea19_031653,"First of all , Spanish educational laws are in Europe , and probably in the world , the only ones which have changed the most in the last 30 years .","First of all , Spanish educational laws are in Europe , and probably in the world , the only ones which have changed the most in the last 30 years ."
A.train.gold.bea19_007158,There are several reasons why there is no future for public transport .,There are several reasons why there is no future for public transport .
A.dev.gold.bea19_000254,"To sum up , my best friends are my family , especially , David , my husband .","To sum up , my best friends are my family , especially , David , my husband ."
ABC.train.gold.bea19_024670,We 've planed a nice event to celebrate my 50 .,We 've planned a nice event to celebrate my 50th .
ABC.train.gold.bea19_027078,It 's been a long time since we last contact each other .,It 's been a long time since we last contacted each other .
A.train.gold.bea19_004187,They brought Marcuangolo to a room and put the boy in a bed .,They took Marcuangolo to a room and put the boy in a bed .
C.train.gold.bea19_001346,We will explain some concepts that we will use later in our analysis .,We will explain some concepts that we will use later in our analysis .
ABC.train.gold.bea19_012238,"But my new friends from this group were very polite and we worked together , so it was much easier , than I thought at first .","But my new friends from this group were very polite and we worked together , so it was much easier than I thought at first ."
ABC.train.gold.bea19_015559,So there he meets the oldest - gorgeous Marcus ' sister and he immediately falls in love and since then the go - between appears in the story .,"So , there he meets the gorgeous eldest sister of Marcus and he immediately falls in love and from then the go - between appears in the story ."
A.train.gold.bea19_007124,Jogging the sport in the nature,Jogging : the sport in nature
C.train.gold.bea19_000820,""" Tick "" .",""" Tick "" ."
