condition,role,sent_idx,source_sentence,o_start,o_end,error_type,correction,required
baseline,system,5,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",19,21,R:ORTH,Europe.,REQUIRED
baseline,system,6,It to belong to the oldest and the biggest museums in eastern Poland .,1,3,R:VERB:FORM,belongs,REQUIRED
baseline,system,6,It to belong to the oldest and the biggest museums in eastern Poland .,12,14,R:ORTH,Poland.,REQUIRED
baseline,system,7,People currently seldom listen to the radio .,1,2,U:ADV,,REQUIRED
baseline,system,7,People currently seldom listen to the radio .,7,8,R:OTHER,currently.,REQUIRED
baseline,system,8,"On the other hand , there are some arguments for sport specially volleyball .",3,5,R:ORTH,"hand,",REQUIRED
baseline,system,8,"On the other hand , there are some arguments for sport specially volleyball .",10,11,R:NOUN,"sports,",REQUIRED
baseline,system,8,"On the other hand , there are some arguments for sport specially volleyball .",11,12,R:ADV,especially,REQUIRED
baseline,system,8,"On the other hand , there are some arguments for sport specially volleyball .",12,14,R:ORTH,volleyball.,REQUIRED
baseline,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",4,4,M:VERB:TENSE,are,REQUIRED
baseline,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",5,7,R:OTHER,"rapidly,",REQUIRED
baseline,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",14,15,R:SPELL,environment,REQUIRED
baseline,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",16,17,R:SPELL,severely,REQUIRED
baseline,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",17,19,R:ORTH,various.,REQUIRED
baseline,system,10,Almost every family have a car now .,3,4,R:VERB:SVA,has,REQUIRED
baseline,system,10,Almost every family have a car now .,6,8,R:ORTH,now.,REQUIRED
baseline,system,11,"Some swimmers are Michael Phelps , Ryan Lochte , Peter Van de Hoogenband and others .",4,6,R:ORTH,"Phelps,",REQUIRED
baseline,system,11,"Some swimmers are Michael Phelps , Ryan Lochte , Peter Van de Hoogenband and others .",7,9,R:ORTH,"Lochte,",REQUIRED
baseline,system,11,"Some swimmers are Michael Phelps , Ryan Lochte , Peter Van de Hoogenband and others .",12,13,R:SPELL,"Hoogenband,",REQUIRED
baseline,system,11,"Some swimmers are Michael Phelps , Ryan Lochte , Peter Van de Hoogenband and others .",14,16,R:ORTH,others.,REQUIRED
baseline,system,12,"I think it 's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did . and , I think it 's enough from me .",2,4,R:ORTH,it's,REQUIRED
baseline,system,12,"I think it 's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did . and , I think it 's enough from me .",16,17,R:NOUN:NUM,citizens,REQUIRED
baseline,system,12,"I think it 's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did . and , I think it 's enough from me .",24,25,R:VERB,"did,",REQUIRED
baseline,system,12,"I think it 's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did . and , I think it 's enough from me .",25,26,U:PUNCT,,REQUIRED
baseline,system,12,"I think it 's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did . and , I think it 's enough from me .",27,28,U:PUNCT,,REQUIRED
baseline,system,12,"I think it 's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did . and , I think it 's enough from me .",30,32,R:OTHER,that's,REQUIRED
baseline,system,12,"I think it 's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did . and , I think it 's enough from me .",34,36,R:ORTH,me.,REQUIRED
baseline,system,13,"They are transport by land , by air , by sea and by train .",2,3,R:VERB:FORM,transported,REQUIRED
baseline,system,13,"They are transport by land , by air , by sea and by train .",4,6,R:ORTH,"land,",REQUIRED
baseline,system,13,"They are transport by land , by air , by sea and by train .",7,9,R:ORTH,"air,",REQUIRED
baseline,system,13,"They are transport by land , by air , by sea and by train .",10,11,R:NOUN,"sea,",REQUIRED
baseline,system,13,"They are transport by land , by air , by sea and by train .",13,15,R:ORTH,train.,REQUIRED
baseline,system,14,This is an interesting concept because it can give the government the money it needs to solve its other problems and does n't necessarily break any rule of personal space .,21,23,R:ORTH,doesn't,REQUIRED
baseline,system,14,This is an interesting concept because it can give the government the money it needs to solve its other problems and does n't necessarily break any rule of personal space .,26,27,R:NOUN:NUM,rules,REQUIRED
baseline,system,14,This is an interesting concept because it can give the government the money it needs to solve its other problems and does n't necessarily break any rule of personal space .,29,31,R:ORTH,space.,REQUIRED
baseline,system,15,"- I am so sorry Madam , excuse me for my blunder .",0,1,U:PUNCT,,REQUIRED
baseline,system,15,"- I am so sorry Madam , excuse me for my blunder .",4,5,R:OTHER,"sorry,",REQUIRED
baseline,system,15,"- I am so sorry Madam , excuse me for my blunder .",5,6,R:NOUN,Madam.,REQUIRED
baseline,system,15,"- I am so sorry Madam , excuse me for my blunder .",6,7,R:OTHER,Please,REQUIRED
baseline,system,15,"- I am so sorry Madam , excuse me for my blunder .",11,13,R:ORTH,blunder.,REQUIRED
baseline,system,16,"My name is Jose .. I 'm 25e years old and I 'm from Madrid , Spain .",3,4,R:NOUN,Jose.,REQUIRED
baseline,system,16,"My name is Jose .. I 'm 25e years old and I 'm from Madrid , Spain .",4,5,U:PUNCT,,REQUIRED
baseline,system,16,"My name is Jose .. I 'm 25e years old and I 'm from Madrid , Spain .",5,7,R:ORTH,I'm,REQUIRED
baseline,system,16,"My name is Jose .. I 'm 25e years old and I 'm from Madrid , Spain .",7,8,R:OTHER,25,REQUIRED
baseline,system,16,"My name is Jose .. I 'm 25e years old and I 'm from Madrid , Spain .",11,13,R:ORTH,I'm,REQUIRED
baseline,system,16,"My name is Jose .. I 'm 25e years old and I 'm from Madrid , Spain .",14,18,R:ORTH,"Madrid, Spain.",REQUIRED
baseline,system,17,My name is Farit .,3,5,R:ORTH,Farit.,REQUIRED
baseline,system,18,"If the advertisement is designed well , people will remember it .",5,7,R:ORTH,"well,",REQUIRED
baseline,system,18,"If the advertisement is designed well , people will remember it .",10,12,R:ORTH,it.,REQUIRED
baseline,system,19,The film is a horror movie which tells the story of a rich family who lived in an old mansion in an abandoned island after the second world war .,6,7,R:DET,that,REQUIRED
baseline,system,19,The film is a horror movie which tells the story of a rich family who lived in an old mansion in an abandoned island after the second world war .,20,21,R:PREP,on,REQUIRED
baseline,system,19,The film is a horror movie which tells the story of a rich family who lived in an old mansion in an abandoned island after the second world war .,26,30,R:ORTH,Second World War.,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",1,2,U:CONTR,,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",4,5,R:OTHER,"2010,",REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",11,12,R:OTHER,and,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",19,20,R:OTHER,5.,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",20,22,U:PUNCT,Since,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",24,25,R:OTHER,"here,",REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",33,35,R:VERB,pursue,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",36,37,R:ADJ:FORM,higher,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",44,45,R:NOUN,English.,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",45,47,U:PUNCT,It,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",55,57,R:OTHER,hoops,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",60,62,R:ORTH,overcome,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",63,64,R:NOUN,"obstacles,",REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",67,69,R:OTHER,are,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",69,70,U:DET,,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",72,72,M:OTHER,for foreign students,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",73,74,R:VERB,obtain,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",75,77,R:ORTH,master's,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",77,78,R:NOUN,degree.,REQUIRED
baseline,system,20,"I 've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5 , since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English , it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master 's degree for the foreign students .",78,83,U:OTHER,,REQUIRED
baseline,system,21,"With regards to traffic , travelling by public transport can also be quicker , as there is a bus lane and no traffic for tube .",1,2,R:NOUN:NUM,regard,REQUIRED
baseline,system,21,"With regards to traffic , travelling by public transport can also be quicker , as there is a bus lane and no traffic for tube .",3,5,R:ORTH,"traffic,",REQUIRED
baseline,system,21,"With regards to traffic , travelling by public transport can also be quicker , as there is a bus lane and no traffic for tube .",5,6,R:VERB:FORM,traveling,REQUIRED
baseline,system,21,"With regards to traffic , travelling by public transport can also be quicker , as there is a bus lane and no traffic for tube .",12,14,R:ORTH,"quicker,",REQUIRED
baseline,system,21,"With regards to traffic , travelling by public transport can also be quicker , as there is a bus lane and no traffic for tube .",24,24,M:DET,the,REQUIRED
baseline,system,21,"With regards to traffic , travelling by public transport can also be quicker , as there is a bus lane and no traffic for tube .",24,26,R:ORTH,tube.,REQUIRED
baseline,system,22,Learning a new language is always an exciting experience .,8,10,R:ORTH,experience.,REQUIRED
baseline,system,23,I felt very afraid because I was not good at running .,10,12,R:ORTH,running.,REQUIRED
baseline,system,24,hello,0,1,R:OTHER,Hello.,REQUIRED
baseline,system,25,She wondered who could make such a pleasant surprise .,8,10,R:ORTH,surprise.,REQUIRED
baseline,system,26,"Although I was not able to attain any awards in the competition , I gained a lot of public speaking skills from the competition .",11,13,R:ORTH,"competition,",REQUIRED
baseline,system,26,"Although I was not able to attain any awards in the competition , I gained a lot of public speaking skills from the competition .",22,25,R:OTHER,it.,REQUIRED
baseline,system,27,"The material processes are carried out by agents , which coincide with the subject .",8,9,U:PUNCT,,REQUIRED
baseline,system,27,"The material processes are carried out by agents , which coincide with the subject .",9,10,R:DET,that,REQUIRED
baseline,system,27,"The material processes are carried out by agents , which coincide with the subject .",13,15,R:ORTH,subject.,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner , so I am certain that I will be in a great help for you this summer .",5,6,R:VERB:FORM,cooking,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner , so I am certain that I will be in a great help for you this summer .",6,7,R:PREP,for,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner , so I am certain that I will be in a great help for you this summer .",10,11,R:NOUN,"people,",REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner , so I am certain that I will be in a great help for you this summer .",18,20,U:OTHER,,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner , so I am certain that I will be in a great help for you this summer .",22,24,R:ORTH,"learner,",REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner , so I am certain that I will be in a great help for you this summer .",32,33,R:PREP,of,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner , so I am certain that I will be in a great help for you this summer .",33,34,U:DET,,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner , so I am certain that I will be in a great help for you this summer .",36,37,R:PREP,to,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner , so I am certain that I will be in a great help for you this summer .",39,41,R:ORTH,summer.,REQUIRED
baseline,system,29,They are used to manage different technologies as television or computer .,7,7,M:ADJ,such,REQUIRED
baseline,system,29,They are used to manage different technologies as television or computer .,10,12,R:ORTH,computer.,REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras .,3,4,R:SPELL,attacks,REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras .,4,5,R:VERB:SVA,was,REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras .,8,9,R:VERB:FORM,stepped,REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras .,9,10,R:OTHER,"up,",REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras .,17,18,R:OTHER,"streets,",REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras .,22,24,R:ORTH,cameras.,REQUIRED
baseline,system,31,l wish l have come at weekends with my family and friends .,0,1,R:OTHER,I,REQUIRED
baseline,system,31,l wish l have come at weekends with my family and friends .,2,3,R:OTHER,I,REQUIRED
baseline,system,31,l wish l have come at weekends with my family and friends .,3,4,R:VERB:TENSE,had,REQUIRED
baseline,system,31,l wish l have come at weekends with my family and friends .,11,13,R:ORTH,friends.,REQUIRED
baseline,system,32,"The most people are travelling by their car , because the public transport was not convenient for people to use .",0,2,U:DET,Most,REQUIRED
baseline,system,32,"The most people are travelling by their car , because the public transport was not convenient for people to use .",4,5,R:VERB:FORM,traveling,REQUIRED
baseline,system,32,"The most people are travelling by their car , because the public transport was not convenient for people to use .",7,8,R:NOUN:NUM,cars,REQUIRED
baseline,system,32,"The most people are travelling by their car , because the public transport was not convenient for people to use .",8,9,U:PUNCT,,REQUIRED
baseline,system,32,"The most people are travelling by their car , because the public transport was not convenient for people to use .",10,11,U:DET,,REQUIRED
baseline,system,32,"The most people are travelling by their car , because the public transport was not convenient for people to use .",13,14,R:VERB:TENSE,is,REQUIRED
baseline,system,32,"The most people are travelling by their car , because the public transport was not convenient for people to use .",17,18,R:OTHER,them,REQUIRED
baseline,system,32,"The most people are travelling by their car , because the public transport was not convenient for people to use .",19,21,R:ORTH,use.,REQUIRED
baseline,system,33,"On the other hand , if we do n't use public transport and every person use a car , pollution will increase a lot .",3,5,R:ORTH,"hand,",REQUIRED
baseline,system,33,"On the other hand , if we do n't use public transport and every person use a car , pollution will increase a lot .",7,9,R:ORTH,don't,REQUIRED
baseline,system,33,"On the other hand , if we do n't use public transport and every person use a car , pollution will increase a lot .",15,16,R:VERB:SVA,uses,REQUIRED
baseline,system,33,"On the other hand , if we do n't use public transport and every person use a car , pollution will increase a lot .",17,19,R:ORTH,"car,",REQUIRED
baseline,system,33,"On the other hand , if we do n't use public transport and every person use a car , pollution will increase a lot .",23,25,R:ORTH,lot.,REQUIRED
baseline,system,34,I 'm writing to you regarding of a letter I 've seen on my way home calling for candidates to fill a vacancy in your cafe staff .,0,2,R:ORTH,I'm,REQUIRED
baseline,system,34,I 'm writing to you regarding of a letter I 've seen on my way home calling for candidates to fill a vacancy in your cafe staff .,6,7,U:PREP,,REQUIRED
baseline,system,34,I 'm writing to you regarding of a letter I 've seen on my way home calling for candidates to fill a vacancy in your cafe staff .,9,11,R:ORTH,I've,REQUIRED
baseline,system,34,I 'm writing to you regarding of a letter I 've seen on my way home calling for candidates to fill a vacancy in your cafe staff .,26,28,R:ORTH,staff.,REQUIRED
baseline,system,35,All my neighbors in the same way collected garbage .,3,3,M:OTHER,collected garbage,REQUIRED
baseline,system,35,All my neighbors in the same way collected garbage .,6,7,R:NOUN,way.,REQUIRED
baseline,system,35,All my neighbors in the same way collected garbage .,7,10,U:OTHER,,REQUIRED
baseline,system,36,"The best season to enjoy this place is certainly the spring , when the weather is not too hot and there are not so many people who picnic under the trees and disturb you while you 're trying to relax !",10,12,R:ORTH,"spring,",REQUIRED
baseline,system,36,"The best season to enjoy this place is certainly the spring , when the weather is not too hot and there are not so many people who picnic under the trees and disturb you while you 're trying to relax !",26,28,R:OTHER,picnicking,REQUIRED
baseline,system,36,"The best season to enjoy this place is certainly the spring , when the weather is not too hot and there are not so many people who picnic under the trees and disturb you while you 're trying to relax !",32,33,R:VERB:FORM,disturbing,REQUIRED
baseline,system,36,"The best season to enjoy this place is certainly the spring , when the weather is not too hot and there are not so many people who picnic under the trees and disturb you while you 're trying to relax !",35,37,R:ORTH,you're,REQUIRED
baseline,system,36,"The best season to enjoy this place is certainly the spring , when the weather is not too hot and there are not so many people who picnic under the trees and disturb you while you 're trying to relax !",39,41,R:ORTH,relax!,REQUIRED
baseline,system,37,I live in a village on the outskirts of Milan .,9,11,R:ORTH,Milan.,REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause . We should start using new ways of transport as go by bike or by walking .,6,7,R:NOUN,"car,",REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause . We should start using new ways of transport as go by bike or by walking .,16,18,R:ORTH,cause.,REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause . We should start using new ways of transport as go by bike or by walking .,25,26,R:NOUN,"transport,",REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause . We should start using new ways of transport as go by bike or by walking .,26,26,M:ADJ,such,REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause . We should start using new ways of transport as go by bike or by walking .,27,28,R:VERB:FORM,going,REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause . We should start using new ways of transport as go by bike or by walking .,31,32,U:PREP,,REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause . We should start using new ways of transport as go by bike or by walking .,32,34,R:ORTH,walking.,REQUIRED
baseline,system,39,"Take care of yourself ,",3,4,R:OTHER,yourself.,REQUIRED
baseline,system,39,"Take care of yourself ,",4,5,U:PUNCT,,REQUIRED
baseline,system,40,"After this short description of myself I would just like to say that I have only heard good things about your summer camps from my relatives in the U.S. , so it would be my pleasure to work for you .",5,6,R:OTHER,"myself,",REQUIRED
baseline,system,40,"After this short description of myself I would just like to say that I have only heard good things about your summer camps from my relatives in the U.S. , so it would be my pleasure to work for you .",28,30,R:ORTH,"U.S.,",REQUIRED
baseline,system,40,"After this short description of myself I would just like to say that I have only heard good things about your summer camps from my relatives in the U.S. , so it would be my pleasure to work for you .",39,41,R:ORTH,you.,REQUIRED
baseline,system,41,"They are very happy with me , because my marks is good .",6,7,U:PUNCT,,REQUIRED
baseline,system,41,"They are very happy with me , because my marks is good .",10,11,R:VERB:SVA,are,REQUIRED
baseline,system,41,"They are very happy with me , because my marks is good .",11,13,R:ORTH,good.,REQUIRED
baseline,system,42,How interesting !,1,3,R:ORTH,interesting!,REQUIRED
baseline,system,43,People are not interested in physical exercise & healthy food instead they are very much interested in earning money .,7,8,R:CONJ,and,REQUIRED
baseline,system,43,People are not interested in physical exercise & healthy food instead they are very much interested in earning money .,9,10,R:NOUN,food;,REQUIRED
baseline,system,43,People are not interested in physical exercise & healthy food instead they are very much interested in earning money .,10,11,R:OTHER,"instead,",REQUIRED
baseline,system,43,People are not interested in physical exercise & healthy food instead they are very much interested in earning money .,18,20,R:ORTH,money.,REQUIRED
baseline,system,44,Danny .,0,2,R:ORTH,Danny.,REQUIRED
baseline,system,45,"In addition , that software is created by nasty people that creates this virus to damage other people computers .",1,3,R:ORTH,"addition,",REQUIRED
baseline,system,45,"In addition , that software is created by nasty people that creates this virus to damage other people computers .",10,11,R:PRON,who,REQUIRED
baseline,system,45,"In addition , that software is created by nasty people that creates this virus to damage other people computers .",11,12,R:VERB:SVA,create,REQUIRED
baseline,system,45,"In addition , that software is created by nasty people that creates this virus to damage other people computers .",17,18,R:NOUN,people's,REQUIRED
baseline,system,45,"In addition , that software is created by nasty people that creates this virus to damage other people computers .",18,20,R:ORTH,computers.,REQUIRED
baseline,system,46,Next year I 'll be a PHD .,2,4,R:ORTH,I'll,REQUIRED
baseline,system,46,Next year I 'll be a PHD .,6,8,R:ORTH,PhD.,REQUIRED
baseline,system,47,my family is a nuclear family .,0,1,R:ORTH,My,REQUIRED
baseline,system,47,my family is a nuclear family .,5,7,R:ORTH,family.,REQUIRED
baseline,system,48,Peter looked at his watch and knew that he had to do something immediately .,13,15,R:ORTH,immediately.,REQUIRED
baseline,system,49,3 . The changing room is very clean,0,2,U:OTHER,,REQUIRED
baseline,system,49,3 . The changing room is very clean,7,8,R:ADJ,clean.,REQUIRED
baseline,system,50,I forgot to prepare extra materials for fast finishers .,8,10,R:ORTH,finishers.,REQUIRED
baseline,system,51,The consumers from traditional branch banking moving towards using electronic delivery channels like personal computer ( PC ) and mobile phones is the most fundamental changes .,1,1,M:OTHER,movement of,REQUIRED
baseline,system,51,The consumers from traditional branch banking moving towards using electronic delivery channels like personal computer ( PC ) and mobile phones is the most fundamental changes .,6,8,R:OTHER,to,REQUIRED
baseline,system,51,The consumers from traditional branch banking moving towards using electronic delivery channels like personal computer ( PC ) and mobile phones is the most fundamental changes .,14,15,R:NOUN:NUM,computers,REQUIRED
baseline,system,51,The consumers from traditional branch banking moving towards using electronic delivery channels like personal computer ( PC ) and mobile phones is the most fundamental changes .,15,18,R:ORTH,(PC),REQUIRED
