condition,role,sent_idx,source_sentence,o_start,o_end,error_type,correction,required
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",0,1,R:OTHER,I,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",3,4,R:OTHER,"2010,",REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",10,11,R:OTHER,and,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",18,19,R:OTHER,5.,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",19,20,R:ORTH,Since,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",22,23,R:OTHER,"here,",REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",31,33,R:VERB,pursue,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",34,35,R:ADJ:FORM,higher,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",42,43,R:OTHER,English.,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",43,44,R:ORTH,It,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",52,54,R:OTHER,hoops,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",57,59,R:ORTH,overcome,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",60,61,R:NOUN,"obstacles,",REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",64,66,R:OTHER,are,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",66,67,U:DET,,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",69,69,M:OTHER,for foreign students,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",70,71,R:VERB,obtain,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",73,74,R:NOUN,degree.,REQUIRED
baseline,system,20,"I've graduated in 2010 majoring in accounting with a degree having an accumulated GPA of 2.49 out of 5, since I came here I have been so ambitious that I will be getting my high studies as soon as I finish studying English, it turned out that I have to jump through the loop in order to over come these obstacles which I believe it is an ordinary requirements to get a master's degree for the foreign students.",74,78,U:OTHER,,REQUIRED
baseline,system,21,"With regards to traffic, travelling by public transport can also be quicker, as there is a bus lane and no traffic for tube.",1,2,R:NOUN:NUM,regard,REQUIRED
baseline,system,21,"With regards to traffic, travelling by public transport can also be quicker, as there is a bus lane and no traffic for tube.",4,5,R:VERB:FORM,traveling,REQUIRED
baseline,system,21,"With regards to traffic, travelling by public transport can also be quicker, as there is a bus lane and no traffic for tube.",22,22,M:DET,the,REQUIRED
baseline,system,24,hello,0,1,R:OTHER,Hello.,REQUIRED
baseline,system,26,"Although I was not able to attain any awards in the competition, I gained a lot of public speaking skills from the competition.",21,23,R:OTHER,it.,REQUIRED
baseline,system,27,"The material processes are carried out by agents, which coincide with the subject.",7,8,R:OTHER,agents,REQUIRED
baseline,system,27,"The material processes are carried out by agents, which coincide with the subject.",8,9,R:DET,that,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner, so I am certain that I will be in a great help for you this summer.",5,6,R:VERB:FORM,cooking,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner, so I am certain that I will be in a great help for you this summer.",6,7,R:PREP,for,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner, so I am certain that I will be in a great help for you this summer.",10,11,R:NOUN,"people,",REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner, so I am certain that I will be in a great help for you this summer.",18,20,U:OTHER,,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner, so I am certain that I will be in a great help for you this summer.",31,32,R:PREP,of,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner, so I am certain that I will be in a great help for you this summer.",32,33,U:DET,,REQUIRED
baseline,system,28,"I am not used to cook to this number of people but I am a hard worker and I am a fast learner, so I am certain that I will be in a great help for you this summer.",35,36,R:PREP,to,REQUIRED
baseline,system,29,They are used to manage different technologies as television or computer.,7,7,M:ADJ,such,REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras.,3,4,R:SPELL,attacks,REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras.,4,5,R:VERB:SVA,was,REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras.,8,9,R:VERB:FORM,stepped,REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras.,9,10,R:OTHER,"up,",REQUIRED
baseline,system,30,Security against terrorism atacks were promised to be step up but policemen are not seen in the streets and neither are security cameras.,17,18,R:OTHER,"streets,",REQUIRED
baseline,system,31,l wish l have come at weekends with my family and friends.,0,1,R:OTHER,I,REQUIRED
baseline,system,31,l wish l have come at weekends with my family and friends.,2,3,R:OTHER,I,REQUIRED
baseline,system,31,l wish l have come at weekends with my family and friends.,3,4,R:VERB:TENSE,had,REQUIRED
baseline,system,32,"The most people are travelling by their car, because the public transport was not convenient for people to use.",0,2,U:DET,Most,REQUIRED
baseline,system,32,"The most people are travelling by their car, because the public transport was not convenient for people to use.",4,5,R:VERB:FORM,traveling,REQUIRED
baseline,system,32,"The most people are travelling by their car, because the public transport was not convenient for people to use.",7,8,R:NOUN,cars,REQUIRED
baseline,system,32,"The most people are travelling by their car, because the public transport was not convenient for people to use.",9,10,U:DET,,REQUIRED
baseline,system,32,"The most people are travelling by their car, because the public transport was not convenient for people to use.",12,13,R:VERB:TENSE,is,REQUIRED
baseline,system,32,"The most people are travelling by their car, because the public transport was not convenient for people to use.",16,17,R:OTHER,them,REQUIRED
baseline,system,33,"On the other hand, if we do n't use public transport and every person use a car, pollution will increase a lot.",6,8,R:ORTH,don't,REQUIRED
baseline,system,33,"On the other hand, if we do n't use public transport and every person use a car, pollution will increase a lot.",14,15,R:VERB:SVA,uses,REQUIRED
baseline,system,34,I'm writing to you regarding of a letter I've seen on my way home calling for candidates to fill a vacancy in your cafe staff.,5,6,U:PREP,,REQUIRED
baseline,system,34,I'm writing to you regarding of a letter I've seen on my way home calling for candidates to fill a vacancy in your cafe staff.,23,24,R:NOUN,café,REQUIRED
baseline,system,35,All my neighbors in the same way collected garbage.,3,3,M:OTHER,collected garbage,REQUIRED
baseline,system,35,All my neighbors in the same way collected garbage.,6,7,R:NOUN,way.,REQUIRED
baseline,system,35,All my neighbors in the same way collected garbage.,7,9,U:OTHER,,REQUIRED
baseline,system,36,"The best season to enjoy this place is certainly the spring, when the weather is not too hot and there are not so many people who picnic under the trees and disturb you while you're trying to relax!",25,27,R:OTHER,picnicking,REQUIRED
baseline,system,36,"The best season to enjoy this place is certainly the spring, when the weather is not too hot and there are not so many people who picnic under the trees and disturb you while you're trying to relax!",31,32,R:VERB:FORM,disturbing,REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause. We should start using new ways of transport as go by bike or by walking.,6,7,R:NOUN,"car,",REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause. We should start using new ways of transport as go by bike or by walking.,24,25,R:NOUN,"transport,",REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause. We should start using new ways of transport as go by bike or by walking.,25,25,M:ADJ,such,REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause. We should start using new ways of transport as go by bike or by walking.,26,27,R:VERB:FORM,going,REQUIRED
baseline,system,38,We are used to driving a car and we do not notice how much damage we cause. We should start using new ways of transport as go by bike or by walking.,30,31,U:PREP,,REQUIRED
baseline,system,39,"Take care of yourself,",3,4,R:NOUN,yourself.,REQUIRED
baseline,system,40,"After this short description of myself I would just like to say that I have only heard good things about your summer camps from my relatives in the U.S., so it would be my pleasure to work for you.",5,6,R:OTHER,"myself,",REQUIRED
baseline,system,41,"They are very happy with me, because my marks is good.",5,6,R:OTHER,me,REQUIRED
baseline,system,41,"They are very happy with me, because my marks is good.",9,10,R:VERB:SVA,are,REQUIRED
baseline,system,43,People are not interested in physical exercise & healthy food instead they are very much interested in earning money.,7,8,R:CONJ,and,REQUIRED
baseline,system,43,People are not interested in physical exercise & healthy food instead they are very much interested in earning money.,9,10,R:NOUN,food;,REQUIRED
baseline,system,43,People are not interested in physical exercise & healthy food instead they are very much interested in earning money.,10,11,R:OTHER,"instead,",REQUIRED
baseline,system,45,"In addition, that software is created by nasty people that creates this virus to damage other people computers.",9,10,R:PRON,who,REQUIRED
baseline,system,45,"In addition, that software is created by nasty people that creates this virus to damage other people computers.",10,11,R:VERB:SVA,create,REQUIRED
baseline,system,45,"In addition, that software is created by nasty people that creates this virus to damage other people computers.",16,17,R:NOUN,people's,REQUIRED
baseline,system,46,Next year I'll be a PHD.,5,6,R:ORTH,PhD.,REQUIRED
baseline,system,47,my family is a nuclear family.,0,1,R:ORTH,My,REQUIRED
baseline,system,49,3. The changing room is very clean,0,1,U:OTHER,,REQUIRED
baseline,system,49,3. The changing room is very clean,6,7,R:ADJ,clean.,REQUIRED
baseline,system,51,The consumers from traditional branch banking moving towards using electronic delivery channels like personal computer (PC) and mobile phones is the most fundamental changes.,1,1,M:OTHER,movement of,REQUIRED
baseline,system,51,The consumers from traditional branch banking moving towards using electronic delivery channels like personal computer (PC) and mobile phones is the most fundamental changes.,6,8,R:OTHER,to,REQUIRED
baseline,system,51,The consumers from traditional branch banking moving towards using electronic delivery channels like personal computer (PC) and mobile phones is the most fundamental changes.,14,15,R:NOUN:NUM,computers,REQUIRED
baseline,system,51,The consumers from traditional branch banking moving towards using electronic delivery channels like personal computer (PC) and mobile phones is the most fundamental changes.,23,24,R:NOUN,change.,REQUIRED
baseline,system,52,You feel that you are a part of the team and everyone is together.,11,11,M:PREP,that,REQUIRED
baseline,system,53,"One of the most favorite books for me is, the power of your subconscious mind.",2,4,R:OTHER,my,REQUIRED
baseline,system,53,"One of the most favorite books for me is, the power of your subconscious mind.",6,9,U:OTHER,,REQUIRED
baseline,system,53,"One of the most favorite books for me is, the power of your subconscious mind.",9,10,R:DET,"is""The",REQUIRED
baseline,system,53,"One of the most favorite books for me is, the power of your subconscious mind.",10,11,R:ORTH,Power,REQUIRED
baseline,system,53,"One of the most favorite books for me is, the power of your subconscious mind.",12,14,R:ORTH,Your Subconscious,REQUIRED
baseline,system,53,"One of the most favorite books for me is, the power of your subconscious mind.",14,15,R:NOUN,"Mind.""",REQUIRED
baseline,system,54,I'd like to add that television can be the refuge of a person if it's sad or the break of someone's on its free time.,8,9,R:DET,a,REQUIRED
baseline,system,54,I'd like to add that television can be the refuge of a person if it's sad or the break of someone's on its free time.,10,11,R:PREP,for,REQUIRED
baseline,system,54,I'd like to add that television can be the refuge of a person if it's sad or the break of someone's on its free time.,14,15,R:OTHER,they're,REQUIRED
baseline,system,54,I'd like to add that television can be the refuge of a person if it's sad or the break of someone's on its free time.,17,18,R:DET,a,REQUIRED
baseline,system,54,I'd like to add that television can be the refuge of a person if it's sad or the break of someone's on its free time.,19,20,R:PREP,for,REQUIRED
baseline,system,54,I'd like to add that television can be the refuge of a person if it's sad or the break of someone's on its free time.,20,21,R:NOUN,someone,REQUIRED
baseline,system,54,I'd like to add that television can be the refuge of a person if it's sad or the break of someone's on its free time.,21,22,R:PREP,in,REQUIRED
baseline,system,54,I'd like to add that television can be the refuge of a person if it's sad or the break of someone's on its free time.,22,23,R:DET,their,REQUIRED
baseline,system,56,"So, I think advantages and disadvantages of TV mainly depend on the watching person.",3,3,M:DET,the,REQUIRED
baseline,system,56,"So, I think advantages and disadvantages of TV mainly depend on the watching person.",12,14,R:OTHER,viewer.,REQUIRED
baseline,system,57,Mari Paz Sanabria Montez.,3,4,R:OTHER,Montéz.,REQUIRED
baseline,system,58,"Finalize can tell that with the passage of time people we change the way we see the world, comes into play evolution, not only of technology but also of society, religion, etc.",0,1,R:OTHER,I,REQUIRED
baseline,system,58,"Finalize can tell that with the passage of time people we change the way we see the world, comes into play evolution, not only of technology but also of society, religion, etc.",8,9,R:NOUN,"time,",REQUIRED
baseline,system,58,"Finalize can tell that with the passage of time people we change the way we see the world, comes into play evolution, not only of technology but also of society, religion, etc.",10,11,U:PRON,,REQUIRED
baseline,system,58,"Finalize can tell that with the passage of time people we change the way we see the world, comes into play evolution, not only of technology but also of society, religion, etc.",14,15,R:PRON,they,REQUIRED
baseline,system,58,"Finalize can tell that with the passage of time people we change the way we see the world, comes into play evolution, not only of technology but also of society, religion, etc.",17,18,R:NOUN,world;,REQUIRED
baseline,system,58,"Finalize can tell that with the passage of time people we change the way we see the world, comes into play evolution, not only of technology but also of society, religion, etc.",18,18,M:NOUN,evolution,REQUIRED
baseline,system,58,"Finalize can tell that with the passage of time people we change the way we see the world, comes into play evolution, not only of technology but also of society, religion, etc.",20,21,R:NOUN,"play,",REQUIRED
baseline,system,58,"Finalize can tell that with the passage of time people we change the way we see the world, comes into play evolution, not only of technology but also of society, religion, etc.",21,22,U:NOUN,,REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",1,2,R:NOUN,"Italy,",REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",11,12,R:NOUN,months;,REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",20,21,R:VERB:TENSE,was,REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",23,24,R:OTHER,"old,",REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",26,27,R:MORPH,other,REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",29,30,R:VERB:TENSE,were,REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",33,34,R:ADJ,"old,",REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",36,37,R:ADV,"then,",REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",41,43,U:OTHER,,REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",45,46,R:NOUN,dinner,REQUIRED
baseline,system,59,"In Italy I worked as a babysitter for a couple of months, I took care of 3 kids: 1 child is 7 years old and the others 2 children are both 11 years old and back then I had to cook for them lunch and dinner.",46,46,M:OTHER,for them.,REQUIRED
baseline,system,60,I want to invite you to our next concert which will be next month if you have any time please come and see how we are preparing for the concert.,8,9,R:NOUN,"concert,",REQUIRED
baseline,system,60,I want to invite you to our next concert which will be next month if you have any time please come and see how we are preparing for the concert.,13,14,R:NOUN,month.,REQUIRED
baseline,system,60,I want to invite you to our next concert which will be next month if you have any time please come and see how we are preparing for the concert.,14,15,R:ORTH,If,REQUIRED
baseline,system,60,I want to invite you to our next concert which will be next month if you have any time please come and see how we are preparing for the concert.,18,19,R:NOUN,"time,",REQUIRED
baseline,system,61,XYZ,0,1,R:SPELL,XYZ.,REQUIRED
baseline,system,62,I'm sure you remember because I spoke a lot about this event.,6,7,R:VERB,talked,REQUIRED
baseline,system,63,Some people may think it seem to be a human rights that let the people to choose if they want to join the military.,5,6,R:VERB:SVA,seems,REQUIRED
baseline,system,63,Some people may think it seem to be a human rights that let the people to choose if they want to join the military.,10,11,R:NOUN:NUM,right,REQUIRED
baseline,system,63,Some people may think it seem to be a human rights that let the people to choose if they want to join the military.,12,13,R:VERB:TENSE,lets,REQUIRED
baseline,system,63,Some people may think it seem to be a human rights that let the people to choose if they want to join the military.,13,14,U:DET,,REQUIRED
baseline,system,63,Some people may think it seem to be a human rights that let the people to choose if they want to join the military.,15,16,U:VERB:FORM,,REQUIRED
baseline,system,64,How much are the costs and how often will we have the course?,4,5,R:NOUN,"costs,",REQUIRED
baseline,system,65,You just need a pair of running shoes and clothes appropriate for the weather.,10,10,M:OTHER,that are,REQUIRED
baseline,system,66,Have you read any sport magazine before?,4,5,R:NOUN:NUM,sports,REQUIRED
baseline,system,66,Have you read any sport magazine before?,5,6,R:NOUN:NUM,magazines,REQUIRED
baseline,system,67,thank you very much,0,1,R:ORTH,Thank,REQUIRED
baseline,system,67,thank you very much,3,4,R:OTHER,much.,REQUIRED
baseline,system,68,I had set up a plan to study all the books we had to go through for the exam plus reviewing them twice.,18,19,R:NOUN,"exam,",REQUIRED
baseline,system,68,I had set up a plan to study all the books we had to go through for the exam plus reviewing them twice.,20,21,R:VERB:FORM,review,REQUIRED
baseline,system,69,And I used the English'cause it would be more spoiled in Farsi.,3,4,R:OTHER,English,REQUIRED
baseline,system,69,And I used the English'cause it would be more spoiled in Farsi.,4,5,R:OTHER,because,REQUIRED
baseline,system,70,He started running towards the light.,3,4,R:PREP,toward,REQUIRED
baseline,system,71,Home in the future may be more modern and safety.,9,10,R:OTHER,safe.,REQUIRED
baseline,system,73,I think in the future do n't exist public transport because we will drive their car.,5,6,R:OTHER,there,REQUIRED
baseline,system,73,I think in the future do n't exist public transport because we will drive their car.,6,7,R:OTHER,won't,REQUIRED
baseline,system,73,I think in the future do n't exist public transport because we will drive their car.,7,8,R:VERB,be,REQUIRED
baseline,system,73,I think in the future do n't exist public transport because we will drive their car.,14,15,R:DET,our,REQUIRED
baseline,system,73,I think in the future do n't exist public transport because we will drive their car.,15,16,R:NOUN,cars.,REQUIRED
baseline,system,74,"But in my case, it happen rarely.",5,6,R:VERB:SVA,happens,REQUIRED
baseline,system,75,"And then, the sheets are printed, operator should pay attention to the colour on both sides, special ink, and images slightly raised.",5,6,R:OTHER,printed;,REQUIRED
baseline,system,75,"And then, the sheets are printed, operator should pay attention to the colour on both sides, special ink, and images slightly raised.",6,6,M:DET,the,REQUIRED
baseline,system,75,"And then, the sheets are printed, operator should pay attention to the colour on both sides, special ink, and images slightly raised.",12,13,R:NOUN,color,REQUIRED
